lemma	status	detail
adiantar	already_paired	ya estaba en el corpus
adiar	already_paired	ya estaba en el corpus
adicar	already_paired	ya estaba en el corpus
adir	unresolved	sin equivalente ES seguro
adiviñar	already_paired	ya estaba en el corpus
administrar	already_paired	ya estaba en el corpus
admirar	already_paired	ya estaba en el corpus
admitir	already_paired	ya estaba en el corpus
adobar	already_paired	ya estaba en el corpus
adobiar	already_paired	ya estaba en el corpus
adoecer	already_paired	ya estaba en el corpus
adoitar	already_paired	ya estaba en el corpus
adondar	unresolved	sin equivalente ES seguro
adoptar	already_paired	ya estaba en el corpus
adorar	already_paired	ya estaba en el corpus
adormecer	added	apertium:adormilar
adormentar	already_paired	ya estaba en el corpus
adornar	already_paired	ya estaba en el corpus
adoutrinar	already_paired	ya estaba en el corpus
adozar	already_paired	ya estaba en el corpus
adquirir	already_paired	ya estaba en el corpus
adscribir	already_paired	ya estaba en el corpus
adstrinxir	unresolved	sin equivalente ES seguro
adubar	unresolved	sin equivalente ES seguro
aducir	already_paired	ya estaba en el corpus
adular	already_paired	ya estaba en el corpus
adulterar	already_paired	ya estaba en el corpus
adurmiñar	added	apertium:adormitar
advertir	already_paired	ya estaba en el corpus
advir	unresolved	sin equivalente ES seguro
adxectivar	already_paired	ya estaba en el corpus
adxudicar	already_paired	ya estaba en el corpus
afacer	already_paired	ya estaba en el corpus
afagar	unresolved	sin equivalente ES seguro
afalar	unresolved	sin equivalente ES seguro
afanar	already_paired	ya estaba en el corpus
afastar	already_paired	ya estaba en el corpus
afatar	unresolved	sin equivalente ES seguro
afear	already_paired	ya estaba en el corpus
afeccionar	already_paired	ya estaba en el corpus
afectar	already_paired	ya estaba en el corpus
afeitar	already_paired	ya estaba en el corpus
afeminar	unresolved	sin equivalente ES seguro
aferir	unresolved	sin equivalente ES seguro
aferrar	already_paired	ya estaba en el corpus
aferretar	unresolved	sin equivalente ES seguro
aferrollar	unresolved	sin equivalente ES seguro
aferventar	unresolved	sin equivalente ES seguro
afervoar	unresolved	sin equivalente ES seguro
afianzar	already_paired	ya estaba en el corpus
afiar	already_paired	ya estaba en el corpus
afibelar	unresolved	sin equivalente ES seguro
afidalgar	unresolved	sin equivalente ES seguro
afiliar	already_paired	ya estaba en el corpus
afillar	already_paired	ya estaba en el corpus
afinar	already_paired	ya estaba en el corpus
afincar	unresolved	sin equivalente ES seguro
afirmar	already_paired	ya estaba en el corpus
afitar	unresolved	sin equivalente ES seguro
afiuzar	unresolved	sin equivalente ES seguro
aflixir	already_paired	ya estaba en el corpus
aflorar	already_paired	ya estaba en el corpus
afluír	unresolved	sin equivalente ES seguro
afocañar	unresolved	sin equivalente ES seguro
afociñar	unresolved	sin equivalente ES seguro
afofar	added	apertium:afofar
afogar	already_paired	ya estaba en el corpus
afogueirar	unresolved	sin equivalente ES seguro
afondar	already_paired	ya estaba en el corpus
aforar	unresolved	sin equivalente ES seguro
aforcar	already_paired	ya estaba en el corpus
aformigar	unresolved	sin equivalente ES seguro
aforrar	already_paired	ya estaba en el corpus
afoscar	unresolved	sin equivalente ES seguro
afoutar	already_paired	ya estaba en el corpus
afrancesar	already_paired	ya estaba en el corpus
afrescar	unresolved	sin equivalente ES seguro
africanizar	already_paired	ya estaba en el corpus
afrontar	already_paired	ya estaba en el corpus
afrouxar	already_paired	ya estaba en el corpus
afuar	unresolved	sin equivalente ES seguro
afumar	already_paired	ya estaba en el corpus
afundir	already_paired	ya estaba en el corpus
afungar	unresolved	sin equivalente ES seguro
afuracar	unresolved	sin equivalente ES seguro
afuscar	added	apertium:afoscar
agabitar	unresolved	sin equivalente ES seguro
agachar	already_paired	ya estaba en el corpus
agaitar	unresolved	sin equivalente ES seguro
agalegar	unresolved	sin equivalente ES seguro
aganchar	unresolved	sin equivalente ES seguro
agarandar	unresolved	sin equivalente ES seguro
agardar	already_paired	ya estaba en el corpus
agargalar	unresolved	sin equivalente ES seguro
agarimar	already_paired	ya estaba en el corpus
agarrar	already_paired	ya estaba en el corpus
agarrotar	already_paired	ya estaba en el corpus
agasallar	already_paired	ya estaba en el corpus
agatuñar	unresolved	sin equivalente ES seguro
aglomerar	already_paired	ya estaba en el corpus
aglutinar	already_paired	ya estaba en el corpus
agoar	unresolved	sin equivalente ES seguro
agochar	already_paired	ya estaba en el corpus
agoirar	already_paired	ya estaba en el corpus
agomar	unresolved	sin equivalente ES seguro
agoniar	unresolved	sin equivalente ES seguro
agonizar	already_paired	ya estaba en el corpus
agostar	already_paired	ya estaba en el corpus
agraciar	already_paired	ya estaba en el corpus
agradar	already_paired	ya estaba en el corpus
agradecer	already_paired	ya estaba en el corpus
agramar	unresolved	sin equivalente ES seguro
agramilar	unresolved	sin equivalente ES seguro
agrandar	already_paired	ya estaba en el corpus
agravar	already_paired	ya estaba en el corpus
agraviar	already_paired	ya estaba en el corpus
agrear	already_paired	ya estaba en el corpus
agredir	already_paired	ya estaba en el corpus
agregar	already_paired	ya estaba en el corpus
agrelar	unresolved	sin equivalente ES seguro
agremiar	already_paired	ya estaba en el corpus
agretar	unresolved	sin equivalente ES seguro
agrilloar	already_paired	ya estaba en el corpus
agripar	unresolved	sin equivalente ES seguro
agromar	already_paired	ya estaba en el corpus
agruar	unresolved	sin equivalente ES seguro
agrupar	already_paired	ya estaba en el corpus
aguantar	already_paired	ya estaba en el corpus
aguapar	unresolved	sin equivalente ES seguro
agudizar	already_paired	ya estaba en el corpus
aguillar	already_paired	ya estaba en el corpus
aguilloar	already_paired	ya estaba en el corpus
agulletar	unresolved	sin equivalente ES seguro
agurgullar	unresolved	sin equivalente ES seguro
aguzar	already_paired	ya estaba en el corpus
ah	unresolved	sin equivalente ES seguro
ai	unresolved	sin equivalente ES seguro
airear	already_paired	ya estaba en el corpus
ala	unresolved	sin equivalente ES seguro
alagar	already_paired	ya estaba en el corpus
alambicar	unresolved	sin equivalente ES seguro
alambrar	unresolved	sin equivalente ES seguro
alampar	unresolved	sin equivalente ES seguro
alancar	already_paired	ya estaba en el corpus
alancear	unresolved	sin equivalente ES seguro
alangrear	unresolved	sin equivalente ES seguro
alaparear	unresolved	sin equivalente ES seguro
alardear	already_paired	ya estaba en el corpus
alargar	already_paired	ya estaba en el corpus
alarmar	already_paired	ya estaba en el corpus
alasar	unresolved	sin equivalente ES seguro
alatinar	unresolved	sin equivalente ES seguro
alaudar	unresolved	sin equivalente ES seguro
albadear	unresolved	sin equivalente ES seguro
albardar	unresolved	sin equivalente ES seguro
albear	unresolved	sin equivalente ES seguro
albeitar	unresolved	sin equivalente ES seguro
albergar	already_paired	ya estaba en el corpus
albiscar	already_paired	ya estaba en el corpus
alborecer	already_paired	ya estaba en el corpus
alborexar	already_paired	ya estaba en el corpus
alborotar	already_paired	ya estaba en el corpus
alborozar	unresolved	sin equivalente ES seguro
alburgar	unresolved	sin equivalente ES seguro
alcaiotar	unresolved	sin equivalente ES seguro
alcalinizar	unresolved	sin equivalente ES seguro
alcanforar	unresolved	sin equivalente ES seguro
alcanzar	already_paired	ya estaba en el corpus
alcatranar	unresolved	sin equivalente ES seguro
alcatrear	unresolved	sin equivalente ES seguro
alcoholizar	unresolved	sin equivalente ES seguro
alcumar	already_paired	ya estaba en el corpus
alcuñar	unresolved	sin equivalente ES seguro
aldrabar	unresolved	sin equivalente ES seguro
aldraxar	unresolved	sin equivalente ES seguro
ale	unresolved	sin equivalente ES seguro
aledar	already_paired	ya estaba en el corpus
alegar	already_paired	ya estaba en el corpus
alegorizar	unresolved	sin equivalente ES seguro
alegrar	already_paired	ya estaba en el corpus
aleirar	unresolved	sin equivalente ES seguro
aleitar	already_paired	ya estaba en el corpus
aleluia	unresolved	sin equivalente ES seguro
alentar	already_paired	ya estaba en el corpus
alerta	unresolved	sin equivalente ES seguro
alertar	already_paired	ya estaba en el corpus
aletargar	unresolved	sin equivalente ES seguro
alfabetizar	unresolved	sin equivalente ES seguro
alfaiar	unresolved	sin equivalente ES seguro
alfar	unresolved	sin equivalente ES seguro
alfombrar	unresolved	sin equivalente ES seguro
algarear	unresolved	sin equivalente ES seguro
aliar	already_paired	ya estaba en el corpus
alicerzar	already_paired	ya estaba en el corpus
alienar	unresolved	sin equivalente ES seguro
alimentar	already_paired	ya estaba en el corpus
alimpar	unresolved	sin equivalente ES seguro
aliñar	already_paired	ya estaba en el corpus
alindar	unresolved	sin equivalente ES seguro
aliñoar	unresolved	sin equivalente ES seguro
alisar	unresolved	sin equivalente ES seguro
alistar	already_paired	ya estaba en el corpus
aliviar	already_paired	ya estaba en el corpus
alixar	unresolved	sin equivalente ES seguro
alixeirar	already_paired	ya estaba en el corpus
allear	added	apertium:enajenar
almacenar	already_paired	ya estaba en el corpus
almallar	unresolved	sin equivalente ES seguro
almiscrar	unresolved	sin equivalente ES seguro
almofadar	unresolved	sin equivalente ES seguro
almorzar	already_paired	ya estaba en el corpus
alodar	unresolved	sin equivalente ES seguro
alombar	unresolved	sin equivalente ES seguro
alongar	unresolved	sin equivalente ES seguro
alorar	unresolved	sin equivalente ES seguro
aloular	already_paired	ya estaba en el corpus
aloumiñar	already_paired	ya estaba en el corpus
aloxar	already_paired	ya estaba en el corpus
alpeirar	unresolved	sin equivalente ES seguro
alporizar	unresolved	sin equivalente ES seguro
alterar	already_paired	ya estaba en el corpus
altercar	unresolved	sin equivalente ES seguro
alternar	already_paired	ya estaba en el corpus
alto	unresolved	sin equivalente ES seguro
aluar	unresolved	sin equivalente ES seguro
aluarar	unresolved	sin equivalente ES seguro
alucar	already_paired	ya estaba en el corpus
alucinar	unresolved	sin equivalente ES seguro
aludir	already_paired	ya estaba en el corpus
alugar	already_paired	ya estaba en el corpus
alumar	already_paired	ya estaba en el corpus
alumear	already_paired	ya estaba en el corpus
aluminar	unresolved	sin equivalente ES seguro
alustrar	unresolved	sin equivalente ES seguro
alzapremar	unresolved	sin equivalente ES seguro
alzar	already_paired	ya estaba en el corpus
amadriñar	unresolved	sin equivalente ES seguro
amagallar	unresolved	sin equivalente ES seguro
amagar	unresolved	sin equivalente ES seguro
amaiar	unresolved	sin equivalente ES seguro
amainar	unresolved	sin equivalente ES seguro
amalgamar	unresolved	sin equivalente ES seguro
amalloar	unresolved	sin equivalente ES seguro
amañar	already_paired	ya estaba en el corpus
amancebar	unresolved	sin equivalente ES seguro
amandar	unresolved	sin equivalente ES seguro
amañecer	already_paired	ya estaba en el corpus
amaneirar	unresolved	sin equivalente ES seguro
amansar	unresolved	sin equivalente ES seguro
amantar	unresolved	sin equivalente ES seguro
amar	already_paired	ya estaba en el corpus
amarar	unresolved	sin equivalente ES seguro
amaravallar	unresolved	sin equivalente ES seguro
amarelar	unresolved	sin equivalente ES seguro
amarelecer	unresolved	sin equivalente ES seguro
amarfallar	unresolved	sin equivalente ES seguro
amarfañar	unresolved	sin equivalente ES seguro
amargar	already_paired	ya estaba en el corpus
amaricar	unresolved	sin equivalente ES seguro
amariconar	unresolved	sin equivalente ES seguro
amaroar	unresolved	sin equivalente ES seguro
amaroufar	unresolved	sin equivalente ES seguro
amarrar	already_paired	ya estaba en el corpus
amarrear	unresolved	sin equivalente ES seguro
amarrotar	unresolved	sin equivalente ES seguro
amasar	unresolved	sin equivalente ES seguro
amatar	unresolved	sin equivalente ES seguro
ambicionar	already_paired	ya estaba en el corpus
ambientar	already_paired	ya estaba en el corpus
amear	unresolved	sin equivalente ES seguro
ameazar	already_paired	ya estaba en el corpus
amecer	unresolved	sin equivalente ES seguro
amedrentar	already_paired	ya estaba en el corpus
ameigar	unresolved	sin equivalente ES seguro
amén	unresolved	sin equivalente ES seguro
amencer	already_paired	ya estaba en el corpus
amenizar	already_paired	ya estaba en el corpus
amentar	already_paired	ya estaba en el corpus
amerar	unresolved	sin equivalente ES seguro
americanizar	unresolved	sin equivalente ES seguro
amestrar	unresolved	sin equivalente ES seguro
ameter	unresolved	sin equivalente ES seguro
ametrallar	unresolved	sin equivalente ES seguro
amidonar	unresolved	sin equivalente ES seguro
amigar	unresolved	sin equivalente ES seguro
aminorar	unresolved	sin equivalente ES seguro
amistar	unresolved	sin equivalente ES seguro
amizar	unresolved	sin equivalente ES seguro
amnistiar	unresolved	sin equivalente ES seguro
amoblar	already_paired	ya estaba en el corpus
amocar	already_paired	ya estaba en el corpus
amodorrar	unresolved	sin equivalente ES seguro
amoedar	unresolved	sin equivalente ES seguro
amoestar	already_paired	ya estaba en el corpus
amofar	unresolved	sin equivalente ES seguro
amolar	already_paired	ya estaba en el corpus
amolecer	unresolved	sin equivalente ES seguro
amolegar	unresolved	sin equivalente ES seguro
amolentar	unresolved	sin equivalente ES seguro
amolloar	unresolved	sin equivalente ES seguro
amomiar	unresolved	sin equivalente ES seguro
amonllar	unresolved	sin equivalente ES seguro
amontear	unresolved	sin equivalente ES seguro
amontoar	already_paired	ya estaba en el corpus
amordazar	unresolved	sin equivalente ES seguro
amordicar	unresolved	sin equivalente ES seguro
amorear	already_paired	ya estaba en el corpus
amorgallar	unresolved	sin equivalente ES seguro
amornar	already_paired	ya estaba en el corpus
amorriñar	unresolved	sin equivalente ES seguro
amortallar	unresolved	sin equivalente ES seguro
amortecer	already_paired	ya estaba en el corpus
amortizar	already_paired	ya estaba en el corpus
amosar	already_paired	ya estaba en el corpus
amoscar	unresolved	sin equivalente ES seguro
amosegar	unresolved	sin equivalente ES seguro
amotinar	unresolved	sin equivalente ES seguro
amoucar	already_paired	ya estaba en el corpus
amouchar	unresolved	sin equivalente ES seguro
amouroar	unresolved	sin equivalente ES seguro
amoutar	unresolved	sin equivalente ES seguro
amozcar	unresolved	sin equivalente ES seguro
amparar	already_paired	ya estaba en el corpus
ampear	unresolved	sin equivalente ES seguro
ampliar	already_paired	ya estaba en el corpus
amplificar	unresolved	sin equivalente ES seguro
ampolar	unresolved	sin equivalente ES seguro
amputar	already_paired	ya estaba en el corpus
amuar	already_paired	ya estaba en el corpus
amurallar	already_paired	ya estaba en el corpus
amurar	unresolved	sin equivalente ES seguro
anabar	unresolved	sin equivalente ES seguro
anainar	unresolved	sin equivalente ES seguro
analizar	already_paired	ya estaba en el corpus
anasar	unresolved	sin equivalente ES seguro
anatematizar	unresolved	sin equivalente ES seguro
anatomizar	unresolved	sin equivalente ES seguro
anavallar	unresolved	sin equivalente ES seguro
anchear	unresolved	sin equivalente ES seguro
anciñar	unresolved	sin equivalente ES seguro
ancorar	already_paired	ya estaba en el corpus
andar	already_paired	ya estaba en el corpus
aneboar	unresolved	sin equivalente ES seguro
anebrar	unresolved	sin equivalente ES seguro
anegar	unresolved	sin equivalente ES seguro
anelar	unresolved	sin equivalente ES seguro
anenar	unresolved	sin equivalente ES seguro
anesgar	unresolved	sin equivalente ES seguro
anestesiar	unresolved	sin equivalente ES seguro
anexar	already_paired	ya estaba en el corpus
anexionar	already_paired	ya estaba en el corpus
angarellar	unresolved	sin equivalente ES seguro
angazar	unresolved	sin equivalente ES seguro
anglicizar	unresolved	sin equivalente ES seguro
angustiar	already_paired	ya estaba en el corpus
anhelar	already_paired	ya estaba en el corpus
anicar	added	apertium:acuclillar
anicrar	unresolved	sin equivalente ES seguro
animalizar	unresolved	sin equivalente ES seguro
animar	already_paired	ya estaba en el corpus
aniñar	already_paired	ya estaba en el corpus
aniquilar	already_paired	ya estaba en el corpus
anoar	already_paired	ya estaba en el corpus
anobelar	unresolved	sin equivalente ES seguro
anodizar	unresolved	sin equivalente ES seguro
anoitecer	already_paired	ya estaba en el corpus
anotar	already_paired	ya estaba en el corpus
anovar	already_paired	ya estaba en el corpus
anoxar	unresolved	sin equivalente ES seguro
anozcar	unresolved	sin equivalente ES seguro
anquilosar	already_paired	ya estaba en el corpus
ansiar	already_paired	ya estaba en el corpus
anteceder	already_paired	ya estaba en el corpus
antedatar	unresolved	sin equivalente ES seguro
antepoñer	already_paired	ya estaba en el corpus
antepor	already_paired	ya estaba en el corpus
anticipar	already_paired	ya estaba en el corpus
antollar	added	apertium:antojar
antoxar	unresolved	sin equivalente ES seguro
anubrar	added	apertium:achubascar
anular	already_paired	ya estaba en el corpus
anunciar	already_paired	ya estaba en el corpus
apacentar	unresolved	sin equivalente ES seguro
apachocar	unresolved	sin equivalente ES seguro
apadriñar	already_paired	ya estaba en el corpus
apadumar	unresolved	sin equivalente ES seguro
apagar	already_paired	ya estaba en el corpus
apaiolar	unresolved	sin equivalente ES seguro
apaisanar	unresolved	sin equivalente ES seguro
apaixonar	already_paired	ya estaba en el corpus
apalabrar	already_paired	ya estaba en el corpus
apallasar	unresolved	sin equivalente ES seguro
apalleirar	unresolved	sin equivalente ES seguro
apalpar	unresolved	sin equivalente ES seguro
apampar	already_paired	ya estaba en el corpus
apanar	unresolved	sin equivalente ES seguro
apañar	already_paired	ya estaba en el corpus
apancar	unresolved	sin equivalente ES seguro
apandar	unresolved	sin equivalente ES seguro
aparafusar	unresolved	sin equivalente ES seguro
aparcar	already_paired	ya estaba en el corpus
aparcelar	unresolved	sin equivalente ES seguro
aparear	unresolved	sin equivalente ES seguro
aparecer	already_paired	ya estaba en el corpus
aparellar	already_paired	ya estaba en el corpus
aparentar	already_paired	ya estaba en el corpus
aparruñar	unresolved	sin equivalente ES seguro
